ROUBO,JARDIM VIOLETAS,RUA,BRAUNAS,,9/15/2016,21:20:00
FURTO,JARDIM VIOLETAS,RUA,CANELAS,896,5/30/2016,06:00:00
FURTO,JARDIM VIOLETAS,RUA,CANFOREIRAS,,11/27/2016,06:00:00
FURTO,JARDIM VIOLETAS,RUA,CRAVOS,1207,5/7/2016,12:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS ACALIFAS,100,7/22/2016,22:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS AVENCAS,4271,12/30/2016,22:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS BEGÔNIAS,172,8/17/2016,03:30:00
FURTO,JARDIM VIOLETAS,RUA,DAS BEGÔNIAS,407,9/28/2016,03:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS BEGÔNIAS,1379,7/18/2016,18:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS CANELAS,990,12/28/2016,06:30:00
FURTO,JARDIM VIOLETAS,RUA,DAS CANELAS,1302,10/26/2016,03:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS CANFOREIRAS,48,11/20/2016,05:33:00
HOMICÍDIO DOLOSO,JARDIM VIOLETAS,RUA,DAS CANFOREIRAS,1408,7/10/2016,07:20:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,DAS CANFOREIRAS,,5/30/2016,02:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS DRACENAS,1108,8/18/2016,01:15:00
FURTO,JARDIM VIOLETAS,RUA,DAS JUÇARAS,87,12/19/2016,
FURTO,JARDIM VIOLETAS,RUA,DAS JUSSARAS,781,12/24/2016,06:45:00
FURTO,JARDIM VIOLETAS,RUA,DAS SAPUCAIAS,565,7/12/2016,02:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS SAPUCAIAS,1167,7/8/2016,07:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS SUCUPIRAS,1103,5/16/2016,05:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,176,6/27/2016,16:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,1970,12/22/2016,10:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,2372,5/20/2016,01:30:00
FURTO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,,7/28/2016,15:00:00
FURTO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,,6/10/2016,22:00:00
ROUBO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,,12/5/2016,19:30:00
ROUBO,JARDIM VIOLETAS,RUA,DAS VIOLETAS,,10/20/2016,13:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,DAS VIOLETAS,,10/10/2016,21:00:00
FURTO,JARDIM VIOLETAS,RUA,DOS CAMBARAS,1022,10/7/2016,06:00:00
FURTO,JARDIM VIOLETAS,RUA,DOS CRAVOS,587,10/13/2016,06:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,DOS CRAVOS,,6/16/2016,17:50:00
FURTO,JARDIM VIOLETAS,RUA,DOS CRAVOS,1155,10/1/2016,06:10:00
HOMICÍDIO DOLOSO,JARDIM VIOLETAS,RUA,DOS CRAVOS,,9/27/2016,01:50:00
ROUBO,JARDIM VIOLETAS,RUA,DOS CRAVOS,,11/11/2016,20:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,DOS GUAPURUVUS,1507,10/24/2016,14:20:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGAS,4680,7/13/2016,07:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGAS,5044,8/24/2016,17:30:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGAS,,8/14/2016,21:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGÁS,4880,5/30/2016,14:15:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGÁS,5143,10/20/2016,09:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGÁS,5206,12/20/2016,01:30:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGÁS,,7/27/2016,06:50:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS INGÁS,,12/3/2016,20:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS JEQUITIBAS,1,7/6/2016,04:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS JEQUITIBAS,,7/20/2016,17:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS JEQUITIBAS,,5/18/2016,10:00:00
ROUBO,JARDIM VIOLETAS,AVENIDA,DOS JEQUITIBAS,,12/3/2016,20:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,AVENIDA,DOS JEQUITIBAS,,10/30/2016,21:00:00
ROUBO,JARDIM VIOLETAS,AVENIDA,DOS JEQUITIBAS,,10/26/2016,10:40:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,2093,7/11/2016,09:25:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,,8/8/2016,12:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,2093,12/10/2016,
FURTO,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,2221,7/18/2016,19:30:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,2547,12/21/2016,16:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,,7/3/2016,03:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,AVENIDA,DOS PINHEIROS,,5/19/2016,18:30:00
FURTO,JARDIM VIOLETAS,RUA,DOS XAXINS,1183,12/8/2016,04:00:00
FURTO,JARDIM VIOLETAS,RUA,DRACENA,556,12/23/2016,02:00:00
ROUBO,JARDIM VIOLETAS,RUA,DRACENA,,12/12/2016,13:15:00
FURTO,JARDIM VIOLETAS,RUA,DRACENAS,1008,7/11/2016,
FURTO,JARDIM VIOLETAS,RUA,DRASCENAS,,7/9/2016,
FURTO,JARDIM VIOLETAS,RUA,DRASCENAS,,6/16/2016,00:30:00
ROUBO,JARDIM VIOLETAS,RUA,GUAPURUVOS,,12/7/2016,10:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,GUAPURUVUS,893,10/2/2016,12:00:00
FURTO,JARDIM VIOLETAS,RUA,GUAPURUVUS,4119,7/6/2016,16:00:00
USO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,GUAPURUVUS,389,10/25/2016,11:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,GUAPURUVUS,906,8/12/2016,03:40:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,GUAPURUVUS,1038,5/24/2016,16:50:00
FURTO,JARDIM VIOLETAS,RUA,GUAPURUVUS,1198,12/6/2016,16:00:00
FURTO,JARDIM VIOLETAS,RUA,INDAIAS,811,9/14/2016,06:00:00
ROUBO,JARDIM VIOLETAS,RUA,INDAIAS,1168,8/30/2016,20:30:00
FURTO,JARDIM VIOLETAS,RUA,INDAIAS,710,8/12/2016,01:00:00
ROUBO,JARDIM VIOLETAS,RUA,INDAIAS,1168,8/20/2016,20:30:00
FURTO,JARDIM VIOLETAS,AVENIDA,INGAS,5288,12/29/2016,03:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,AVENIDA,INGAS,,9/17/2016,04:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,AVENIDA,INGAS,,8/12/2016,11:30:00
FURTO,JARDIM VIOLETAS,AVENIDA,INGAS,,12/14/2016,19:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,AVENIDA,ITAUBAS,,8/20/2016,00:28:00
FURTO,JARDIM VIOLETAS,AVENIDA,ITAÚBAS,5758,12/11/2016,21:00:00
ROUBO,JARDIM VIOLETAS,AVENIDA,JACARANDAS,,12/7/2016,04:30:00
FURTO,JARDIM VIOLETAS,AVENIDA,JEQUITIBAS,2098,7/8/2016,21:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,JEQUITIBAS,,7/22/2016,19:00:00
ROUBO,JARDIM VIOLETAS,AVENIDA,JEQUITIBAS,,12/23/2016,21:30:00
ROUBO,JARDIM VIOLETAS,AVENIDA,JEQUITIBAS,,11/1/2016,21:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,JEQUITIBAS,,10/23/2016,09:00:00
FURTO,JARDIM VIOLETAS,RUA,JUSSARA,317,11/25/2016,15:00:00
ROUBO,JARDIM VIOLETAS,RUA,MONJOLEIROS,,11/29/2016,18:00:00
FURTO,JARDIM VIOLETAS,RUA,MORAGUEIRAS,550,5/6/2016,06:00:00
ROUBO,JARDIM VIOLETAS,RUA,OITIS,27,12/1/2016,23:00:00
FURTO,JARDIM VIOLETAS,RUA,OITIS,27,11/2/2016,03:00:00
FURTO,JARDIM VIOLETAS,RUA,OITIS,41,10/12/2016,00:00:00
ROUBO,JARDIM VIOLETAS,RUA,ORQUIDEAS,,9/29/2016,20:00:00
ROUBO,JARDIM VIOLETAS,AVENIDA,PALMEIRAS,,7/6/2016,16:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,RUA,RUA DAS MORANGUEIRAS,657,5/30/2016,17:40:00
FURTO,JARDIM VIOLETAS,RUA,RUA DAS SUCUPIRAS,989,5/24/2016,04:00:00
ROUBO,JARDIM VIOLETAS,RUA,SAPUCAIAS,238,11/19/2016,23:30:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,387,5/29/2016,21:30:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,957,10/30/2016,10:00:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,1228,8/5/2016,02:00:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,1258,12/30/2016,18:00:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,1315,11/11/2016,03:00:00
ROUBO,JARDIM VIOLETAS,RUA,VIOLETAS,2489,10/25/2016,21:00:00
FURTO,JARDIM VIOLETAS,RUA,VIOLETAS,2606,6/14/2016,19:35:00
FURTO,JARDIM VIOLETAS,AVENIDA,YPES,,10/25/2016,20:30:00
FURTO,JARDIM VIOLETAS,,,271,5/3/2016,12:20:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,,,376,6/30/2016,18:45:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,,,1156,6/19/2016,16:00:00
ROUBO,JARDIM VIOLETAS,,,,9/3/2016,19:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM VIOLETAS,,,,9/20/2016,14:15:00
FURTO,JARDIM VIOLETAS,,,,9/17/2016,08:30:00
ROUBO,JARDIM VIOLETAS,,,,8/12/2016,10:30:00
FURTO,JARDIM VIOLETAS,,,,10/9/2016,02:00:00
ROUBO,JARDIM VIOLETAS,,,,5/19/2016,17:50:00
FURTO,JARDIM VIOLETAS,,,,12/9/2016,02:00:00
FURTO,JARDIM VIOLETAS,,,,12/30/2016,20:00:00
HOMICÍDIO DOLOSO,JARDIM VIOLETAS,,,,12/21/2016,09:00:00
ROUBO,JARDIM VIOLETAS,,,,11/5/2016,03:00:00
FURTO,JARDIM VITORIA,RUA,CENTRAL,,10/6/2016,17:00:00
ROUBO,JARDIM VITORIA REGIA,AVENIDA,ANDRE MAGGI,,9/3/2016,08:05:00
FURTO,JARDIM VITORIA REGIA,AVENIDA,ANDRE MAGGI,,11/16/2016,18:30:00
FURTO,JARDIM VITORIA REGIA,RUA,B,1838,12/5/2016,15:00:00
USO ILÍCITO DE DROGAS,JARDIM VITORIA REGIA,RUA,B,,7/28/2016,15:30:00
ROUBO,JARDIM VITORIA REGIA,RUA,CLAUDIOMIRO M DE CARVALHO,1328,12/14/2016,05:30:00
FURTO,JARDIM VITORIA REGIA,RUA,DARCI DACROCI,1946,8/15/2016,11:00:00
ROUBO,JARDIM VITÓRIA REGIA,AVENIDA,ANDRE MAGGI,,5/7/2016,07:00:00
FURTO,JARDIM VITÓRIA REGIA,RUA,DOS MOGNOS,916,5/17/2016,12:00:00
FURTO,JARDIM VITÓRIA REGIA,,,,9/30/2016,03:00:00
HOMICÍDIO DOLOSO,JARDIM AMÉRICA,RUA,JESUITA,Q: 09,8/14/2016,07:40:00
ROUBO,JARDIM DAS ACÁCIAS,RUA,RENUNCIO BALDISERRA,179,5/18/2016,08:40:00
USO ILÍCITO DE DROGAS,JARDIM OLIVEIRAS,RUA,DAS ALFAZEMAS,853,8/18/2016,16:40:00
FURTO,JARDIM OLIVEIRAS,AVENIDA,DOS INGAS,5218,10/6/2016,10:30:00
ROUBO,JARDIM OLIVEIRAS,RUA,RESEDAS,,8/22/2016,21:20:00
USO ILÍCITO DE DROGAS,JARDIM OLIVEIRAS,RUA,VIOLETAS,,7/11/2016,16:30:00
USO ILÍCITO DE DROGAS,JARDIM PÉROLA,RUA,PEROLA,,11/8/2016,15:30:00
FURTO,JARDIM VIOLETAS,RUA,JEQUITIBAS,2098,7/8/2016,09:00:00
ROUBO,JARDIM.DAS PALMEIRAS,RUA,ARARIBAS,442,8/27/2016,15:00:00
FURTO,JARDIM.DAS PALMEIRAS,RUA,DAS PEROBAS,,8/18/2016,02:00:00
ROUBO,JARDIM.DAS PALMEIRAS,AVENIDA,INGAS,,8/4/2016,22:00:00
FURTO,JARDIM.DAS PALMEIRAS,AVENIDA,PALMEIRAS,,8/26/2016,20:00:00
FURTO,JARDIM.PARAISO,RUA,PEREIRAS,690,7/16/2016,10:00:00
USO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,2,,11/1/2016,11:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DO OURO,RODOVIA,AS MARGENS DA BR-163,,9/7/2016,15:30:00
FURTO,RESID. JEQUITIBÁS,RUA,DAS VIOLETAS,2023,7/10/2016,20:30:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,PROJETADA 07,LT13,5/17/2016,14:00:00
ROUBO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,PROJETADA 4,,6/27/2016,18:15:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,QUADRA 23-LOTE 13,,5/10/2016,17:00:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,ELIAS COAN,C:03,12/7/2016,08:00:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,ELIAS COAN,,5/24/2016,15:30:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,TATUAPÉ,,11/23/2016,21:20:00
ROUBO,JARDIM DAS VIOLETAS,RUA,CANELAS,231,8/19/2016,23:00:00
FURTO,ZONA RURAL,RUA,COLONIZADOR ÊNIO PEPINO,,7/31/2016,12:00:00
FURTO,ZONA RURAL,ESTRADA,RUTE,,11/6/2016,05:00:00
ROUBO,RESID. LISBOA,RUA,11,25,7/14/2016,20:00:00
FURTO,RESID. LISBOA,RUA,12,Q-17,6/26/2016,18:35:00
TRÁFICO ILÍCITO DE DROGAS,RESID. LISBOA,RUA,DALVA,,10/5/2016,15:00:00
FURTO,RESID. LISBOA,RUA,RUA 8,,6/28/2016,16:00:00
FURTO,RESID. LISBOA,,,,10/1/2016,04:20:00
FURTO,MENINO JESUS,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,4240,7/5/2016,19:00:00
FURTO,JARDIM NOVO HORIZONTE,RUA,ANTONIO PORTO,,7/11/2016,15:00:00
FURTO,JARDIM NOVO HORIZONTE,RUA,ARCOIRIS,,5/10/2016,17:00:00
FURTO,JARDIM NOVO HORIZONTE,RUA,AURORA,Q10,12/5/2016,13:30:00
FURTO,JARDIM NOVO HORIZONTE,RUA,AURORA,Q10,12/2/2016,19:00:00
FURTO,VILLAGE,AVENIDA,ANDRÉ MAGGI,3715,10/30/2016,07:00:00
ROUBO,CHÁCARA DE LAZER MARIA CAROLINA I,AVENIDA,ANDRE MAGGI,7514,7/9/2016,09:00:00
FURTO,CHÁCARA DE LAZER MARIA CAROLINA I,AVENIDA,ANDRE MAGGI,,9/10/2016,22:30:00
FURTO,CHÁCARA DE LAZER MARIA CAROLINA I,AVENIDA,ANDRE MAGGI,,7/14/2016,11:00:00
ROUBO,CHÁCARA DE LAZER MARIA CAROLINA I,AVENIDA,ANDRE MAGGI,,7/19/2016,18:15:00
FURTO,CHÁCARA DE LAZER MARIA CAROLINA I,RUA,PRINCIPAL,,10/1/2016,18:00:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER MARIA CAROLINA I,RUA,ROSANGELA,,8/15/2016,15:20:00
ROUBO,CHÁCARA DE LAZER MARIA CAROLINA I,,,,8/30/2016,08:00:00
ROUBO,JARDIM MARIA VINDILINA,AVENIDA,ANDRE MAGGI,,7/3/2016,11:00:00
ROUBO,JARDIM MARIA VINDILINA,RUA,RIO PRETO,560,11/22/2016,08:00:00
FURTO,JARDIM MARIA VINDILINA,RUA,FLAMINGOS,526,11/13/2016,03:00:00
FURTO,JARDIM MARIA VINDILINA,AVENIDA,PANTANAL,778,11/15/2016,21:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM MARIA VINDILINA,RUA,RIO VERDE,1020,5/11/2016,19:00:00
FURTO,JARDIM MARIA VINDILINA,ESTRADA,CLAUDIA,336,10/22/2016,15:00:00
FURTO,JARDIM MARIA VINDILINA,AVENIDA,DAS AGUIAS,,11/13/2016,22:00:00
ROUBO,JARDIM MARIA VINDILINA,RUA,ELISA BORTOLOZO LUCIANO,3507,9/20/2016,
FURTO,JARDIM MARIA VINDILINA,RUA,TELES PIRES,,5/9/2016,19:00:00
FURTO,JARDIM MARIA VINDILINA III,RUA,CISNE,1032,10/6/2016,13:00:00
FURTO,JARDIM MARIA VINDILINA III,RUA,JANGADA,61,10/23/2016,16:00:00
USO ILÍCITO DE DROGAS,JARDIM MARIA VINDILINA III,RUA,JANGADA,265,8/28/2016,12:40:00
ROUBO,JARDIM MARIA VINDILINA,AVENIDA,AGUIAS,,6/20/2016,09:30:00
FURTO,JARDIM MARIA VINDILINA,RUA,ALCIDES FAGANELLO,3875,10/20/2016,13:00:00
HOMICÍDIO DOLOSO,JARDIM MARIA VINDILINA,AVENIDA,ANDRE MAGGI,,7/23/2016,19:10:00
FURTO,JARDIM MARIA VINDILINA,RUA,CUIABA,Q 07,11/22/2016,22:00:00
ROUBO,JARDIM MARIA VINDILINA,RUA,CUIABA,,6/29/2016,17:45:00
ROUBO,JARDIM MARIA VINDILINA,AVENIDA,DAS AGUIAS,,7/21/2016,12:00:00
USO ILÍCITO DE DROGAS,JARDIM MARIA VINDILINA,AVENIDA,DAS AGUIAS,,12/1/2016,17:00:00
FURTO,JARDIM MARIA VINDILINA,RUA,MUTUM,,10/24/2016,15:45:00
FURTO,JARDIM MARIA VINDILINA,AVENIDA,PANTANAL,,11/13/2016,22:00:00
FURTO,JARDIM MARIA VINDILINA,RUA,RIO PRETO,1241,12/9/2016,09:30:00
ROUBO,JARDIM MARIA VINDILINA,RUA,RIO PRETO,,10/28/2016,20:05:00
ROUBO,JARDIM MARIA VINDILINA,RUA,TELES PIRES,,5/23/2016,00:00:00
ROUBO,JARDIM MARIA VINDILINA,,,,8/22/2016,08:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM MARIA VINDILINA,,,,5/27/2016,18:30:00
ROUBO,JARDIM MARIA VINDILINA,,,,5/22/2016,23:00:00
FURTO,JARDIM MARIA VINDILINA,,,,12/10/2016,07:30:00
FURTO,JARDIM MARIA VINDILINA,,,,11/5/2016,21:00:00
FURTO,JARDIM MARIA VINDILINA,,,,10/29/2016,20:00:00
ROUBO,JARDIM MARIA VINDILINA,RUA,1,,6/1/2016,19:30:00
FURTO,JARDIM MARIA VINDILINA,RUA,COXIPO,801,6/3/2016,17:00:00
ROUBO,JARDIM MARIA VINDILINA,AVENIDA,PANTANAL,,9/29/2016,20:30:00
FURTO,JARDIM MARIA VINDILINA,RUA,ROSÁRIO,2,9/12/2016,13:00:00
HOMICÍDIO DOLOSO,JARDIM MARIA VINDILINA,RUA,ROSÁRIO,,8/4/2016,19:50:00
ROUBO,JARDIM MARIA VINDILINA,RUA,NICOLAU FLESSAK,487,7/9/2016,03:40:00
FURTO,JARDIM MARIA VINDILINA II,RUA,MUTUM,1115,5/17/2016,20:00:00
ROUBO,JARDIM MARIA VINDILINA II,AVENIDA,PANTANAL,,8/23/2016,08:10:00
FURTO,JARDIM MARIA VINDILINA II,RUA,RIO NEGRO,786,9/15/2016,12:00:00
ROUBO,JARDIM MARIA VINDILINA II,RUA,RIO VERDE,1260,5/3/2016,07:10:00
ROUBO,JARDIM MARIA VINDILINA II,RUA,TELES PIRES,,8/5/2016,12:40:00
FURTO,JARDIM MARIA VINDILINA III,RUA,CISNES,1032,10/8/2016,13:00:00
ROUBO,JARDIM MARIA VINDILINA III,RUA,CUIABÁ,620,12/20/2016,11:50:00
FURTO,JARDIM MARIA VINDILINA III,RUA,DOS AZULÕES,1061,5/16/2016,20:00:00
ROUBO,JARDIM MARIA VINDILINA III,RUA,DOS CISNES,1070,8/27/2016,23:10:00
FURTO,JARDIM MARIA VINDILINA III,RUA,DOS CISNES,,10/10/2016,22:00:00
FURTO,JARDIM MARIA VINDILINA III,RUA,JANGADA,18,9/4/2016,05:00:00
FURTO,JARDIM MARIA VINDILINA III,RUA,JANGADA,20,9/29/2016,17:00:00
FURTO,JARDIM MARIA VINDILINA III,RUA,JANGADA,325,7/6/2016,18:00:00
FURTO,JARDIM MARIA VINDILINA III,RUA,JANGADA,336,11/16/2016,16:30:00
FURTO,JARDIM MARIA VINDILINA III,AVENIDA,PANTANAL,6,8/30/2016,16:10:00
FURTO,JARDIM MARIA VINDILINA III,AVENIDA,PANTANAL,1396,9/16/2016,01:30:00
FURTO,JARDIM MARIA VINDILINA III,AVENIDA,PANTANAL,,8/20/2016,22:00:00
FURTO,JARDIM MARINGÁ,AVENIDA,ANDRE MAGGIE,2436,11/20/2016,08:00:00
ROUBO,JARDIM MARINGÁ,RUA,JASMIM,8,11/17/2016,21:30:00
FURTO,JARDIM MARINGÁ,RUA,SERINGUEIRAS,2836,11/27/2016,
HOMICÍDIO DOLOSO,MENINO JESUS,RUA,AIRTON SENA,,8/11/2016,16:50:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,AV. BRASIL,,8/9/2016,20:23:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,AV. BRASIL,,12/28/2016,14:15:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,RUA,AYRTON SENA,661,9/12/2016,20:05:00
ROUBO,MENINO JESUS,RUA,BR 163,,8/18/2016,21:00:00
USO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,,8/23/2016,16:00:00
FURTO,MENINO JESUS,AVENIDA,BRASIL,,8/22/2016,16:00:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,,11/6/2016,10:00:00
ROUBO,MENINO JESUS,AVENIDA,BRASIL,,10/4/2016,15:00:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,,10/4/2016,15:00:00
FURTO,MENINO JESUS,RUA,COLONIZADOR ENIO PIPINO,,6/5/2016,02:00:00
USO ILÍCITO DE DROGAS,MENINO JESUS,RUA,HOLANDA,,12/16/2016,22:00:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,RUA,RUA LIBANO,,10/6/2016,21:30:00
ROUBO,MENINO JESUS,ESTRADA,SABRINA,,5/3/2016,20:30:00
FURTO,MENINO JESUS,AVENIDA,BRASIL,,10/31/2016,09:30:00
FURTO,MENINO JESUS,RUA,3,23,5/31/2016,05:00:00
HOMICÍDIO DOLOSO,MENINO JESUS,RUA,4,,10/27/2016,22:30:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,,7/31/2016,16:15:00
FURTO,MENINO JESUS,RUA,HOLANDA,2847,9/6/2016,11:00:00
FURTO,MENINO JESUS,AVENIDA,JOAO PEDRO MOREIRA DE CARVALHO,,6/18/2016,22:30:00
ROUBO,MENINO JESUS,AVENIDA,MARINGÁ,2419,7/16/2016,09:20:00
ROUBO,MENINO JESUS,RUA,PRINCIPAL,,12/8/2016,17:30:00
FURTO,MENINO JESUS,,,,10/24/2016,07:30:00
FURTO,MENINO JESUS,RUA,AIRTON SENA,449,8/8/2016,11:45:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,RUA,ALEMANHA,131,8/23/2016,17:20:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,678,7/14/2016,09:50:00
FURTO,MENINO JESUS,AVENIDA,BRASIL,2659,12/15/2016,11:00:00
FURTO,MENINO JESUS,AVENIDA,BRASIL,2659,12/15/2016,15:34:00
USO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,,9/28/2016,20:30:00
HOMICÍDIO DOLOSO,MENINO JESUS,AVENIDA,BRASIL,,12/29/2016,13:55:00
USO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,BRASIL,,10/29/2016,22:40:00
FURTO,MENINO JESUS,RUA,ESTADOS UNIDOS,QD05,11/8/2016,17:00:00
HOMICÍDIO DOLOSO,MENINO JESUS,RUA,FRANÇA,,7/4/2016,09:00:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,RUA,HOLANDA,,10/26/2016,08:00:00
FURTO,MENINO JESUS,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,,11/27/2016,04:37:00
HOMICÍDIO DOLOSO,MENINO JESUS,RUA,LÍBANO,,11/13/2016,22:30:00
USO ILÍCITO DE DROGAS,MENINO JESUS,AVENIDA,MARINGA,2863,11/4/2016,10:20:00
FURTO,MENINO JESUS,RUA,RUA UM,,12/24/2016,21:00:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,ESTRADA,SABRINA,,8/23/2016,17:00:00
ROUBO,MENINO JESUS,,,,12/3/2016,23:00:00
FURTO,MENINO JESUS II,RUA,,,10/2/2016,14:00:00
USO ILÍCITO DE DROGAS,ZONA RURAL,ESTRADA,MONALIZA,C 1,7/14/2016,09:00:00
FURTO,MONDRIAN,RUA,LEONARDO DA VINCI,65,7/6/2016,08:17:00
FURTO,MONDRIAN,RUA,LEONARDO DA VINCI,65,7/4/2016,08:00:00
FURTO,MONTREAL PARK,RUA,1,Q05,10/24/2016,07:30:00
FURTO,MONTREAL PARK,RUA,CENTRAL,17,9/13/2016,10:00:00
FURTO,MONTREAL PARK,,,Q12,9/25/2016,15:00:00
FURTO,MARIA,RUA,PROJETADA I,585,9/1/2016,07:00:00
ROUBO,MARIA,RUA,PROJETADA I,,5/3/2016,20:30:00
FURTO,MT KM,ESTRADA,"MT 220, KM 70",,8/27/2016,16:00:00
ROUBO,MT,,,,8/16/2016,19:00:00
FURTO,NOSSA SENHORA APARECIDA,RUA,AVENIDA DA SAUDADE,,9/3/2016,21:00:00
FURTO,NOSSA SENHORA APARECIDA,RUA,BEIJA FLORES,457,5/22/2016,03:30:00
ROUBO,NOSSA SENHORA APARECIDA,AVENIDA,JOSÉ TEOBALDO ANSCHÃO,388,9/24/2016,20:30:00
FURTO,NOSSA SENHORA APARECIDA,RUA,PASSAROS,311,10/15/2016,11:00:00
FURTO,NOVA ESPERANÇA,RUA,8,,12/30/2016,04:00:00
FURTO,NOVO ESTADO,RUA,5,,5/21/2016,12:00:00
