FURTO,JARDIM BOA ESPERANÇA,RUA,NOVE,2260,8/2/2016,01:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,OTAVIO PEREIRA LIMA,1725,6/12/2016,11:10:00
FURTO,JARDIM BOA ESPERANÇA,RUA,OTAVIO PEREIRA LIMA,2190,10/14/2016,10:30:00
FURTO,JARDIM BOA ESPERANÇA,RUA,PADRE ANTONIO HAIDDLER,,7/7/2016,07:15:00
FURTO,JARDIM BOA ESPERANÇA,RUA,PASTOR MANOEL SANTANA,157,8/16/2016,23:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,PASTOR MANOEL SANTANA,,8/31/2016,07:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,PAULO PAN,81,11/9/2016,09:30:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,PAULO PAN,,9/6/2016,22:00:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,PAULO PAN,,12/29/2016,09:00:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,RUA 08,,10/14/2016,07:00:00
ROUBO,JARDIM BOA ESPERANÇA,,,,9/12/2016,12:00:00
FURTO,JARDIM BOA ESPERANÇA,,,,8/2/2016,16:00:00
ROUBO,JARDIM BOA ESPERANÇA,,,,5/21/2016,23:00:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,1,13,12/20/2016,01:45:00
USO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,1,,5/2/2016,19:30:00
HOMICÍDIO DOLOSO,CHÁCARA DE LAZER BOA VISTA,RUA,1,,12/30/2016,16:40:00
,CHÁCARA DE LAZER BOA VISTA,RUA,1,,12/30/2016,16:40:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,1,,12/14/2016,17:25:00
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,1,,11/27/2016,07:00:00
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,2,24,7/29/2016,01:30:00
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,2,,12/20/2016,
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,DOIS,lt 12,11/16/2016,08:00:00
FURTO,CHÁCARA DE LAZER BOA VISTA,ESTRADA,SABRINA,,8/14/2016,21:30:00
ROUBO,CHÁCARA DE LAZER BOA VISTA,ESTRADA,SABRINA,,5/21/2016,06:10:00
HOMICÍDIO DOLOSO,CHÁCARA DE LAZER BOA VISTA,ESTRADA,SABRINA,,10/29/2016,23:30:00
ROUBO,BOM JARDIM,RUA,CENTRAL,,6/7/2016,14:00:00
FURTO,BOM JARDIM,RUA,CENTRAL,,11/7/2016,10:30:00
FURTO,BOM JARDIM,RUA,JERUSALÉM,,5/16/2016,00:00:00
FURTO,BOM JARDIM,RUA,JERUSALÉM,,5/16/2016,20:00:00
TRÁFICO ILÍCITO DE DROGAS,BOM JARDIM,RUA,JERUZALEM,65,8/7/2016,12:30:00
ROUBO,BOM JARDIM,RUA,JERUZALEM,66,11/21/2016,20:30:00
FURTO,BOM JARDIM,RUA,JERUZALEM,,6/16/2016,01:00:00
FURTO,BOM JARDIM,ESTRADA,ROSARIA,,8/2/2016,03:00:00
ROUBO,BOM JARDIM,ESTRADA,ROZALIA,,11/18/2016,15:50:00
FURTO,BOM JARDIM,,,,12/2/2016,10:40:00
FURTO,JARDIM BOTÂNICO,RUA,CEDROS,102,6/27/2016,07:15:00
FURTO,JARDIM BOTÂNICO,RUA,COQUEIROS,802,5/26/2016,16:20:00
FURTO,JARDIM BOTÂNICO,RUA,ORQUIDEAS,,11/21/2016,11:50:00
FURTO,JARDIM BOTÂNICO,AVENIDA,TARUMÃS,,10/7/2016,15:30:00
FURTO,ZONA RURAL,RODOVIA,BR 163,,10/15/2016,00:30:00
FURTO,ZONA RURAL,ESTRADA,"KM 845,6",,8/17/2016,17:00:00
ROUBO,ZONA RURAL,,,,10/6/2016,16:00:00
FURTO,CAMPING CLUB,RUA,RUA PIRAIBA QUADRA 17 LOTE 28,135,12/14/2016,
FURTO,CAMPING CLUB,RUA,PIRAMBOIA,100,6/6/2016,16:00:00
FURTO,CAMPING CLUB,RUA,TAMBAQUI,225,12/17/2016,01:15:00
FURTO,CAMPING CLUB,RODOVIA,163,,5/5/2016,01:32:00
USO ILÍCITO DE DROGAS,CAMPING CLUB,RODOVIA,BR163,,12/22/2016,18:00:00
USO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,DA PRAIA,,12/16/2016,23:30:00
HOMICÍDIO DOLOSO,CAMPING CLUB,RUA,DOURADOS,105,8/3/2016,23:23:00
FURTO,CAMPING CLUB,RUA,PINTADO,235,12/2/2016,18:00:00
FURTO,CAMPING CLUB,RUA,PIRAMBOIA,25,5/14/2016,
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,TAMBAQUI,15,7/15/2016,16:00:00
ROUBO,CAMPING CLUB,RODOVIA,BR 163,,12/20/2016,19:00:00
HOMICÍDIO DOLOSO,CAMPING CLUB,RODOVIA,BR 163,,12/11/2016,03:20:00
FURTO,CAMPING CLUB,RUA,DOURADOS,255,7/27/2016,04:30:00
FURTO,CAMPING CLUB,RUA,DOURADOS,655,9/17/2016,15:30:00
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,MATRINXÃ,,7/18/2016,10:00:00
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RODOVIA,MT 220,,9/28/2016,22:35:00
HOMICÍDIO DOLOSO,CAMPING CLUB,RUA,PIAU,110,9/19/2016,22:47:00
ROUBO,CAMPING CLUB,RUA,PIAU,110,9/19/2016,22:47:00
ROUBO,CAMPING CLUB,RUA,PIAU,115,12/11/2016,20:00:00
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,PRINCIPAL,,7/21/2016,10:45:00
USO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,TAMBAQUI,15 A,7/23/2016,20:00:00
FURTO,CAMPING CLUB,RUA,TUBARÃO,90,7/16/2016,
FURTO,CAMPING CLUB,,,,6/5/2016,16:30:00
HOMICÍDIO DOLOSO,CAMPO VERDE,RUA,A,14,10/21/2016,11:30:00
TRÁFICO ILÍCITO DE DROGAS,CAMPO VERDE,RUA,A,14,10/21/2016,11:30:00
FURTO,CAMPO VERDE,RUA,BETELL,780,12/22/2016,10:00:00
FURTO,CAMPO VERDE,ESTRADA,DA CLAUDIA,337,11/12/2016,08:00:00
FURTO,CAMPO VERDE,RUA,G,4,5/19/2016,19:30:00
FURTO,CAMPO VERDE,RUA,G,29,7/23/2016,13:00:00
FURTO,CAMPO VERDE,RUA,G,,11/19/2016,
FURTO,JARDIM CELESTE,RUA,DOS PESSEGUEIROS,1225,6/22/2016,23:55:00
FURTO,JARDIM CELESTE,AVENIDA,ITAUBAS,,6/1/2016,20:00:00
FURTO,JARDIM CELESTE,AVENIDA,JATOBAS,1360,5/23/2016,00:00:00
FURTO,JARDIM CELESTE,AVENIDA,SIBIPIRUNAS,,6/23/2016,18:00:00
FURTO,SETOR COMERCIAL NORTE,RUA,AZALÉIAS,851,8/6/2016,04:00:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,DAS EMBAUBAS,1459,8/1/2016,12:00:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,DAS ITAUBAS,3891,8/22/2016,09:00:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,DAS ITAUBAS,3891,8/22/2016,09:00:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,DAS ITAUBAS,3891,6/25/2016,10:05:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,DAS ITAUBAS,,10/20/2016,21:30:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,GOVERNADOR JULIO CAMPOS,623,11/16/2016,18:53:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,JULIO CAMPOS,693,6/21/2016,05:35:00
FURTO,SETOR COMERCIAL NORTE,RUA,PITANGUEIRAS,865,11/27/2016,03:00:00
FURTO,SETOR COMERCIAL NORTE,AVENIDA,PRAÇA CATEDRAL,,10/17/2016,21:00:00
FURTO,SETOR INDUSTRIAL,AVENIDA,ALEXANDRE FERRONATO,1200,7/8/2016,14:30:00
FURTO,SETOR INDUSTRIAL,AVENIDA,COLONIZADOR ENIO PIPINO,,9/27/2016,00:00:00
FURTO,SETOR INDUSTRIAL,RUA,VALDIR DOERNER,2271,5/12/2016,14:00:00
FURTO,SETOR INDUSTRIAL SUL,RUA,DAS SAMAMBAIAS,2298,6/2/2016,16:00:00
USO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,2,,8/10/2016,01:00:00
USO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,2,,5/21/2016,17:00:00
FURTO,CHÁCARA DE LAZER SÃO CRISTÓVÃO,RUA,1,81,5/11/2016,06:00:00
USO ILÍCITO DE DROGAS,CHÁCARA DE LAZER SÃO CRISTÓVÃO,RUA,2,458,10/25/2016,22:00:00
ROUBO,CHÁCARA DE LAZER SÃO CRISTÓVÃO II,RUA,1,57,9/11/2016,23:00:00
FURTO,CHÁCARA DE LAZER SÃO CRISTÓVÃO II,ESTRADA,JACINTA,,5/12/2016,15:00:00
FURTO,CHÁCARA DE LAZER SÃO CRISTÓVÃO II,,,,11/21/2016,12:00:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER MARIA CAROLINA I,RUA,VERA LUCIA,397-B,11/26/2016,15:00:00
FURTO,CHÁCARA PLANALTO,RUA,PRINCIPAL,,12/31/2016,10:20:00
FURTO,CHÁCARA DE LAZER SÃO CRISTÓVÃO,RUA,JOAO PEDRO MOREIRA DE CARVALHO,0,10/14/2016,21:00:00
FURTO,CHÁCARA DE LAZER SÃO CRISTÓVÃO,RUA,ARARA AZUL,25,9/4/2016,01:00:00
ROUBO,CHÁCARA TAPAJÓS,ESTRADA,RUTH,61,11/9/2016,22:30:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER SÃO CRISTÓVÃO,RUA,2,25,6/4/2016,20:20:00
FURTO,CHÁCARA DE LAZER SÃO CRISTÓVÃO,RUA,COLONIZADORA ENIO PIPINO,,5/30/2016,07:00:00
ROUBO,CHÁCARA DE LAZER SÃO CRISTÓVÃO,,,,11/28/2016,12:40:00
FURTO,,AVENIDA,AV. INTEGRAÇÃO,49,11/20/2016,21:18:00
FURTO,CHÁCARA TAPAJÓS,,,,12/8/2016,10:30:00
FURTO,CIDADE JARDIM,RUA,ALBERT EINSTAIN,184,11/15/2016,17:00:00
ROUBO,CIDADE JARDIM,RUA,ALBERT EISTEN,,8/8/2016,09:00:00
FURTO,CIDADE JARDIM,RUA,ALBERT SABIM,60,11/16/2016,11:30:00
ROUBO,CIDADE JARDIM,AVENIDA,ALEXANDRE FERRONATO,,7/15/2016,08:30:00
ROUBO,CIDADE JARDIM,RUA,JORGE AMADO,161,12/27/2016,19:40:00
FURTO,CIDADE JARDIM,RUA,JORGE AMADO,213,8/26/2016,15:40:00
ROUBO,CIDADE JARDIM,RUA,MÁRIO DE ANDRADE,65,9/8/2016,19:30:00
ROUBO,CIDADE JARDIM,RUA,PAULO ALTRAN,,7/30/2016,20:00:00
FURTO,CIDADE JARDIM,,,,9/3/2016,02:00:00
USO ILÍCITO DE DROGAS,CIDADE JARDIM,,,,10/31/2016,08:40:00
FURTO,ZONA RURAL,ESTRADA,COMUNIDADE SÃO MARCOS,,9/10/2016,19:00:00
FURTO,PARQUE DAS ARARAS,RUA,DOS FAVEIROS,6438,5/12/2016,01:00:00
FURTO,PARQUE DAS ARARAS,AVENIDA,PERIMETRAL NORTE,826,7/20/2016,18:00:00
FURTO,RESID. VIDA NOVA,RUA,3,,5/19/2016,
FURTO,COMUNIDADE NOVO JARDIM,RUA,CENTRAL,,12/27/2016,15:00:00
FURTO,,,,,7/10/2016,10:00:00
FURTO,RESID. ADALGIZA,ESTRADA,ADALGISA,56,10/28/2016,15:00:00
FURTO,RESID. ADALGIZA,RUA,BURITIS,29,8/23/2016,19:00:00
FURTO,ZONA RURAL,ESTRADA,SELENE,3,7/12/2016,22:00:00
FURTO,,AVENIDA,BRUNO MARTINI,,11/15/2016,19:11:00
FURTO,RESID. BETEL,RUA,PRINCIPAL,17,7/3/2016,21:00:00
FURTO,BOM JARDIM,RUA,CENTRAL,21,8/13/2016,18:30:00
ROUBO,BOM JARDIM,,,,6/7/2016,11:00:00
FURTO,CAMPO VERDE,RUA,A,23,11/21/2016,22:00:00
FURTO,ZONA RURAL,RUA,ANGELICA,2,5/26/2016,
FURTO,RESID. RESERVA CELESTE,ESTRADA,CELENE,,7/17/2016,18:00:00
FURTO,ZONA RURAL,ESTRADA,AUREA,8,8/18/2016,16:00:00
FURTO,RESID. NOSSA SENHORA APARECIDA,RUA,ADOLFO GOMES DE PAIVA,820,6/30/2016,09:00:00
FURTO,RESID. NOSSA SENHORA DE FÁTIMA,RUA,2,,9/5/2016,07:00:00
HOMICÍDIO DOLOSO,RESID. NOSSA SENHORA DE FÁTIMA,,,,11/27/2016,11:00:00
FURTO,CHÁCARA PLANALTO,ESTRADA,PRINCIPAL,,10/12/2016,07:30:00
ROUBO,ZONA RURAL,ESTRADA,NANCI,,7/27/2016,18:00:00
FURTO,,RUA,RUA ALBERTO BARANJAK,470,9/23/2016,09:00:00
FURTO,,AVENIDA,BRUNO MARTINI,,10/17/2016,07:00:00
ROUBO,,ESTRADA,SELENE,4,6/30/2016,19:00:00
FURTO,COMUNIDADE VITÓRIA,RUA,CENTRAL,17,8/14/2016,06:00:00
FURTO,COMUNIDADE VITÓRIA,RUA,CENTRAL,,8/14/2016,00:00:00
FURTO,COMUNIDADE VITÓRIA,RUA,A,25,8/14/2016,03:00:00
FURTO,RESID. BOA VISTA,ESTRADA,GLORIA,,10/4/2016,10:00:00
USO ILÍCITO DE DROGAS,ZONA RURAL,PASSAGEM,CHACARA ELIZA,,9/4/2016,02:40:00
USO ILÍCITO DE DROGAS,ZONA RURAL,PASSAGEM,CHACARAQ ELIZA,,9/4/2016,03:22:00
FURTO,JARDIM CURITIBA,RUA,APUCARANA,Q 06,9/15/2016,07:00:00
