FURTO,MARIA VIDILINA I,RUA,TELES PIRES,,5/9/2016,19:00:00
ROUBO,MARIA VINDILINA,RUA,TELES PIRES,,5/23/2016,00:00:00
FURTO,JOSÉ ADRIANO LEITÃO,RUA,TATUAPÉ,,11/23/2016,21:20:00
ROUBO,CENTRO,AVENIDA,TARUMÃS,,7/8/2016,12:30:00
FURTO,CENTRO,AVENIDA,TARUMÃS,,6/8/2016,18:05:00
ROUBO,CENTRO,AVENIDA,TARUMÃS,,6/25/2016,19:40:00
FURTO,CENTRO,AVENIDA,TARUMÃS,,5/4/2016,21:00:00
FURTO,BOTANICO,AVENIDA,TARUMÃS,,10/7/2016,15:30:00
FURTO,SETOR COMERCIAL,RUA,TARUMÁS,1896,12/28/2016,07:00:00
FURTO,JARDIM BOTANICO,AVENIDA,TARUMAS,549,10/18/2016,
FURTO,JARDIM TARUMAS,AVENIDA,TARUMAS,800,12/16/2016,18:30:00
ROUBO,CENTRO,AVENIDA,TARUMAS,916,12/16/2016,23:15:00
FURTO,JD BOTANICO,AVENIDA,TARUMAS,995,9/14/2016,09:00:00
FURTO,JARDIM BOTANICO,AVENIDA,TARUMAS,995,7/14/2016,10:00:00
FURTO,JD DAS NAÇOES,AVENIDA,TARUMAS,3532,8/25/2016,15:30:00
FURTO,JARDIM BOTÂNICO,AVENIDA,TARUMAS,,9/17/2016,19:15:00
ROUBO,JD MARINGÁ 1,AVENIDA,TARUMAS,,7/27/2016,03:45:00
FURTO,CENTRO,AVENIDA,TARUMAS,,7/5/2016,20:30:00
FURTO,CENTRO,AVENIDA,TARUMAS,,6/22/2016,21:00:00
FURTO,CENTROS,AVENIDA,TARUMAS,,5/3/2016,17:30:00
ROUBO,CENTROS,AVENIDA,TARUMAS,,5/26/2016,04:00:00
FURTO,JARDIM BOTANICO,AVENIDA,TARUMAS,,11/22/2016,12:40:00
FURTO,CENTRO,AVENIDA,TARUMAS,,11/12/2016,00:00:00
ROUBO,JARDIM BOTÂNICO,AVENIDA,TARUMAS,,10/6/2016,17:30:00
FURTO,JARDIM TARUMÃS,AVENIDA,TARUMAS,,10/5/2016,19:00:00
TRÁFICO ILÍCITO DE DROGAS,HABITAR BRASIL,RUA,TANGERINAS,30,8/2/2016,06:00:00
TRÁFICO ILÍCITO DE DROGAS,HABITAR BRASIL,RUA,TANGERINAS,,6/13/2016,00:10:00
ROUBO,JARDIM ITALIA 2,RUA,TANCREDO NEVES,246,6/23/2016,21:00:00
FURTO,JARDIM ITALIA I,RUA,TANCREDO NEVES,168A,5/26/2016,08:30:00
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,TAMBAQUI,15,7/15/2016,16:00:00
FURTO,CAMPIM CLUBE,RUA,TAMBAQUI,225,12/17/2016,01:15:00
USO ILÍCITO DE DROGAS,CAMPING CLUBE,RUA,TAMBAQUI,15 A,7/23/2016,20:00:00
FURTO,JARDIM MARINGA II,RUA,TAMAREIRAS,2176,5/29/2016,
FURTO,JARDIM BOTÂNICO,RUA,TAMAREIRAS,,5/23/2016,02:00:00
FURTO,CENTRO,RUA,TAMANDARÉ,,12/24/2016,02:10:00
ROUBO,RESIDENCIAL DAURI RIVA,RUA,T,,10/1/2016,17:00:00
HOMICÍDIO DOLOSO,JARDIM PAULISTA,RUA,SUMARÉ,215,10/15/2016,07:50:00
FURTO,SAO CRISTOVAO,ESTRADA,SITIO DAS VIDEIRAS,lt 21,7/25/2016,15:30:00
USO ILÍCITO DE DROGAS,RESIDENCIAL ADALGISA,RUA,SIRINEU COAN,30 a,10/30/2016,18:07:00
FURTO,JARDIM IPES,RUA,SILVARIO BECHAMANN,2443,7/27/2016,14:30:00
FURTO,CENTRO,AVENIDA,SIIPIRUNAS,,11/24/2016,12:00:00
FURTO,VILA ITALIA III,RUA,SIENA,q36,12/2/2016,18:30:00
FURTO,JARDIM ITALIA 3,RUA,SIENA,,12/7/2016,12:00:00
FURTO,RES JARDIM FLORENÇA,RUA,SICILIA,,12/2/2016,09:00:00
ROUBO,JARDIM CELESTE,AVENIDA,SIBIPIRUNAS,1105,12/29/2016,
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,2792,6/19/2016,19:30:00
FURTO,OURO,AVENIDA,SIBIPIRUNAS,3322,5/27/2016,07:00:00
ROUBO,CENTRO,AVENIDA,SIBIPIRUNAS,3890,11/25/2016,18:15:00
ROUBO,CENTRO,AVENIDA,SIBIPIRUNAS,4002,9/16/2016,05:30:00
FURTO,JARDIM PRIMAVERAS,AVENIDA,SIBIPIRUNAS,4857,7/4/2016,
FURTO,JACARANDAS,AVENIDA,SIBIPIRUNAS,5000,6/6/2016,21:30:00
ROUBO,JARDIM PRIMAVERAS,AVENIDA,SIBIPIRUNAS,5092,5/22/2016,10:00:00
TRÁFICO ILÍCITO DE DROGAS,JD PRIMAVERA,AVENIDA,SIBIPIRUNAS,5108,5/28/2016,17:00:00
FURTO,JD PRIMAVERA,AVENIDA,SIBIPIRUNAS,5701,5/29/2016,21:33:00
HOMICÍDIO DOLOSO,JARDIM PRIMAVERAS,AVENIDA,SIBIPIRUNAS,5718,11/21/2016,23:20:00
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,,10/26/2016,00:15:00
ROUBO,CENTRO,AVENIDA,SIBIPIRUNAS,,8/30/2016,17:10:00
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,,8/24/2016,17:30:00
TRÁFICO ILÍCITO DE DROGAS,CENTROS,AVENIDA,SIBIPIRUNAS,,8/19/2016,20:40:00
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,,8/19/2016,21:00:00
